Date,Open,High,Low,Volume,Close
10/9/01,148000,153000,148000,792600,151500
10/10/01,149500,150500,148000,337100,149000
10/11/01,154000,160000,153500,1163400,159000
10/12/01,166000,167000,162500,945300,163000
10/15/01,160000,162000,159000,348500,160000
10/16/01,158000,161500,158000,312400,159000
10/17/01,163000,165000,161500,571900,164000
10/18/01,161500,163000,158500,437000,163000
10/19/01,165000,170500,163000,831100,170000
10/22/01,173000,173500,166500,374600,169500
10/23/01,175000,176500,172500,791600,174000
10/24/01,178000,185500,177500,1122300,185500
10/25/01,185000,185000,181000,552200,183000
10/26/01,183000,184500,179000,956400,181000
10/29/01,183000,185000,180500,509600,184000
10/30/01,177000,179000,173500,676500,174000
10/31/01,170500,174000,170500,579600,173500
11/1/01,177000,181500,174000,685900,179000
11/2/01,181500,183500,181500,758400,183000
11/5/01,183500,185000,181000,603600,185000
11/6/01,189000,191500,188000,1060200,190000
11/7/01,191000,191500,188500,885300,190500
11/8/01,190500,193500,190000,752000,193000
11/9/01,193000,193000,193000,0,193000
11/12/01,200500,202500,196500,470000,200000
11/13/01,196000,200000,195000,600200,200000
11/14/01,205000,215000,203000,1500600,215000
11/15/01,210500,214500,207500,725500,209500
11/16/01,208000,209500,203500,715900,209000
11/19/01,205000,220000,205000,786300,218500
11/20/01,220000,223000,213500,753900,213500
11/21/01,208000,215000,207500,668600,211000
11/22/01,211500,216000,208000,351900,216000
11/23/01,217000,222500,215000,547400,222000
11/26/01,223500,231000,223500,759800,230000
11/27/01,232000,233000,228500,839200,231000
11/28/01,227000,230000,217500,594000,219000
11/29/01,214500,224500,208500,1065300,210000
11/30/01,223000,223000,216500,624600,218000
12/3/01,221500,225000,214500,657200,224500
12/4/01,226500,230500,222000,654800,230000
12/5/01,238000,264500,237000,2302600,264500
12/6/01,278000,293000,267500,2292600,275000
12/7/01,270000,286500,266500,1174100,283500
12/10/01,279000,279000,258500,1305600,260000
12/11/01,252000,259500,248500,1052500,258500
12/12/01,258000,271000,251500,1077900,270000
12/13/01,270000,271500,261000,1275300,265000
12/14/01,255500,261500,254500,930200,255000
12/17/01,250500,257500,246000,825100,250500
12/18/01,254000,269500,254000,1134500,260500
12/19/01,265500,267500,262500,617400,264000
12/20/01,260000,270500,255500,648700,265000
12/21/01,255000,259500,250000,833000,251500
12/24/01,252500,258000,250500,408600,252500
12/25/01,252500,252500,252500,0,252500
12/26/01,256500,259500,254000,434900,258000
12/27/01,260000,271000,259000,807100,270000
12/28/01,280000,281000,275500,769600,279000
12/31/01,279000,279000,279000,0,279000
1/1/02,279000,279000,279000,0,279000
1/2/02,283000,308000,281000,1142000,308000
1/3/02,308000,308000,308000,0,308000
1/4/02,319000,320500,314500,1009400,319000
1/7/02,313000,321500,308500,1029100,318000
1/8/02,319500,319500,309500,760100,311500
1/9/02,310500,322500,309500,902400,322500
1/10/02,318000,321000,308000,1096900,308000
1/11/02,312000,317500,302000,953600,306000
1/14/02,302500,330000,302000,978000,330000
1/15/02,321500,323000,308000,1377500,312000
1/16/02,307500,312500,301500,1206600,301500
1/17/02,295000,303000,293000,1112100,300000
1/18/02,300500,302000,294000,885200,296000
1/21/02,290000,292000,286000,825300,291000
1/22/02,292000,302500,292000,657900,300000
1/23/02,290000,309500,289000,798000,308000
1/24/02,311000,318500,309000,768300,310000
1/25/02,316500,328500,313000,1137500,323000
1/28/02,329000,329000,317500,674700,318500
1/29/02,318500,322500,314500,642800,315000
1/30/02,300500,309000,300500,791600,303000
1/31/02,303000,303000,303000,0,303000
2/1/02,310000,316000,304500,712800,309000
2/4/02,310000,316500,309000,476100,312000
2/5/02,310000,324500,307000,973500,323000
2/6/02,320000,324000,318000,636900,319000
2/7/02,315000,323000,312000,739500,315000
2/8/02,316000,321000,311000,682100,321000
2/11/02,321000,321000,321000,0,321000
2/12/02,321000,321000,321000,0,321000
2/13/02,321000,321000,321000,0,321000
2/14/02,337000,355000,331500,1967300,355000
2/15/02,347000,350000,340500,857200,341500
2/18/02,341000,345500,339000,713900,343000
2/19/02,345000,352000,339500,725400,342500
2/20/02,335000,343500,335000,699600,340000
2/21/02,343000,344500,327000,1031900,338000
2/22/02,327500,334000,326500,942400,333500
2/25/02,330500,336500,326500,679100,332000
2/26/02,341000,344000,333000,681100,337000
2/27/02,333000,350000,333000,917500,350000
2/28/02,350000,350500,343000,861500,343000
3/1/02,343000,343000,343000,0,343000
3/4/02,350500,363000,350000,1219000,350000
3/5/02,363500,364000,356000,962300,361000
3/6/02,361000,368000,357500,619100,363000
3/7/02,368500,368500,355500,495600,356000
3/8/02,355000,357500,345500,734200,349000
3/11/02,350000,352000,343500,722700,348500
3/12/02,344000,353500,343000,787300,353000
3/13/02,345500,352500,345500,668800,348000
3/14/02,344500,345000,329000,2115700,344000
3/15/02,334000,336500,329000,1430300,330000
3/18/02,335000,336000,329000,1036700,332000
3/19/02,333000,349000,333000,1260100,349000
3/20/02,351000,356000,346500,862100,349000
3/21/02,340000,345500,340000,672100,341500
3/22/02,345000,357000,339500,971900,350500
3/25/02,353000,353000,340000,1090100,340000
3/26/02,338500,349000,336500,843900,349000
3/27/02,350000,365500,350000,1228200,363500
3/28/02,362500,370000,357500,785200,357500
3/29/02,365000,371000,363000,738700,368000
4/1/02,375000,384500,370500,1149300,374000
4/2/02,378000,398500,370000,1567900,398500
4/3/02,397500,405000,393000,1208600,404000
4/4/02,399000,399000,386500,1415900,389000
4/5/02,389000,389000,389000,0,389000
4/8/02,388000,388000,369000,1552000,369000
4/9/02,370000,373500,366000,1054800,369000
4/10/02,369000,369500,355500,1303600,356000
4/11/02,357500,365000,356000,1433800,359500
4/12/02,359500,371500,355500,1108400,369000
4/15/02,372000,388000,372000,853300,385000
4/16/02,385000,391000,381500,850500,389000
4/17/02,400500,411000,399000,1540500,406000
4/18/02,400000,408500,397500,975700,406500
4/19/02,406500,413500,396000,1239700,396000
4/22/02,403000,417000,402000,1234400,410000
4/23/02,410000,428000,405500,1197800,427000
4/24/02,423000,432000,418000,799600,432000
4/25/02,421500,426000,412500,1020200,413000
4/26/02,407000,411500,399500,1123100,400000
4/29/02,390000,396500,380500,1066600,381000
4/30/02,383000,388500,378000,895700,382000
5/1/02,382000,382000,382000,0,382000
5/2/02,387000,387000,376500,1038000,379500
5/3/02,372000,374500,363000,1110700,370000
5/6/02,356500,361000,348000,1102700,348000
5/7/02,340500,352000,335000,1440500,352000
5/8/02,358000,369000,356500,1066500,362500
5/9/02,377000,378000,362000,1494400,362000
5/10/02,350500,355000,332000,2000300,334000
5/13/02,328000,338500,320500,1351400,335500
5/14/02,347000,358500,345000,1194600,358000
5/15/02,368000,381000,367000,1412200,376000
5/16/02,376000,376500,369500,612900,370000
5/17/02,375000,383500,373500,807100,382500
5/20/02,380000,380500,370000,604900,370000
5/21/02,364500,368000,355000,806700,356000
5/22/02,355000,370000,351500,759200,370000
5/23/02,367000,369000,359500,740300,360000
5/24/02,368000,371000,365000,686700,366000
5/27/02,360000,369500,359500,387000,361500
5/28/02,362500,370000,360500,469500,369500
5/29/02,365000,365000,354000,780600,362000
5/30/02,356500,360500,352000,627400,355000
5/31/02,354000,356500,342000,894700,342000
6/3/02,336000,354000,336000,698000,351000
6/4/02,341000,354000,340500,568100,352000
6/5/02,358000,362500,354500,508300,355500
6/6/02,355500,355500,355500,0,355500
6/7/02,345500,349500,344000,789200,345000
6/10/02,349000,352500,348000,560000,350000
6/11/02,350000,351000,344000,440100,350000
6/12/02,346500,352000,346000,858100,352000
6/13/02,352000,352000,352000,0,352000
6/14/02,353500,366000,353000,756900,359500
6/17/02,361000,364500,358000,565100,359000
6/18/02,370000,375000,361500,839200,363000
6/19/02,363000,366000,343500,1261300,348500
6/20/02,340000,344000,333500,859000,341000
6/21/02,335000,345500,330500,973100,340000
6/24/02,331500,341000,331500,558300,339000
6/25/02,345000,347000,338000,603100,338500
6/26/02,330000,330500,309000,1284200,309000
6/27/02,319000,321500,311000,895100,313000
6/28/02,325000,334500,322000,911200,329000
7/1/02,329000,329000,329000,0,329000
